activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
32260,CHEMBL674637,CHEMBL1134862,CHEMBL68920,IC50,nM,41.0,IC50,uM,0.041
32263,CHEMBL621151,CHEMBL1134862,CHEMBL68920,IC50,nM,300.0,IC50,uM,0.3
32265,CHEMBL615325,CHEMBL1134862,CHEMBL68920,IC50,nM,7820.0,IC50,uM,7.82
32267,CHEMBL674637,CHEMBL1134862,CHEMBL69960,IC50,nM,170.0,IC50,uM,0.17
32270,CHEMBL621151,CHEMBL1134862,CHEMBL69960,IC50,nM,40.0,IC50,uM,0.04
32272,CHEMBL615325,CHEMBL1134862,CHEMBL69960,IC50,nM,440.0,IC50,uM,0.44
32680,CHEMBL677833,CHEMBL1145114,CHEMBL137635,IC50,nM,9300.0,IC50,uM,9.3
32770,CHEMBL674643,CHEMBL1124610,CHEMBL306988,IC50,nM,500000.0,IC50,uM,500.0
32772,CHEMBL674643,CHEMBL1124610,CHEMBL66879,IC50,nM,3000000.0,IC50,uM,3000.0
32780,CHEMBL674643,CHEMBL1124610,CHEMBL77085,IC50,nM,96000.0,IC50,uM,96.0
33406,CHEMBL674637,CHEMBL1134862,CHEMBL443268,IC50,nM,5310.0,IC50,uM,5.31
34039,CHEMBL674643,CHEMBL1124610,CHEMBL76979,IC50,nM,264000.0,IC50,uM,264.0
34041,CHEMBL674643,CHEMBL1124610,CHEMBL76589,IC50,nM,125.0,IC50,uM,0.125
34045,CHEMBL674643,CHEMBL1124610,CHEMBL77724,IC50,nM,1250000.0,IC50,uM,1250.0
34047,CHEMBL674643,CHEMBL1124610,CHEMBL420385,IC50,nM,625000.0,IC50,uM,625.0
34049,CHEMBL674643,CHEMBL1124610,CHEMBL76904,IC50,nM,35000.0,IC50,uM,35.0
34051,CHEMBL674643,CHEMBL1124610,CHEMBL1009,IC50,nM,900000.0,IC50,uM,900.0
34669,CHEMBL674637,CHEMBL1134862,CHEMBL304271,IC50,nM,0.45,IC50,uM,0.00045
