activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,assay_description,assay_type,assay_organism,doc_title,doc_abstract
10883601,CHEMBL2033651,CHEMBL2029259,CHEMBL1229592,IC50,nM,6.18,IC50,nM,6.18,Inhibition of EGFR after 1.5 hr by FRET assay,B,,"Design, synthesis, and biological evaluation of novel conformationally constrained inhibitors targeting epidermal growth factor receptor threonine⁷⁹⁰ → methionine⁷⁹⁰ mutant.","The EGFR(T790M) mutant contributes approximately 50% to clinically acquired resistance against gefitinib or erlotinib. However, almost all the single agent clinical trials of the second generation irreversible EGFR inhibitors appear inadequate to overcome the EGFR(T790M)-related resistance. We have designed and synthesized a series of 2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidinyl derivatives as novel EGFR inhibitors. The most potent compounds, 2q and 2s, inhibited the enzymatic activities of wild-type and mutated EGFRs, with IC(50) values in subnanomolar ranges, including the T790M mutants. The kinase inhibitory efficiencies of the compounds were further validated by Western blot analysis of the activation of EGFR and downstream signaling in cancer cells harboring different mutants of EGFR. The compounds also strongly inhibited the proliferation of H1975 non small cell lung cancer cells bearing EGFR(L858R/T790M), while being significantly less toxic to normal cells. Moreover, 2s displayed promising anticancer efficacy in a human NSCLC (H1975) xenograft nude mouse model."
10883602,CHEMBL2033651,CHEMBL2029259,CHEMBL2032376,IC50,nM,1.16,IC50,nM,1.16,Inhibition of EGFR after 1.5 hr by FRET assay,B,,"Design, synthesis, and biological evaluation of novel conformationally constrained inhibitors targeting epidermal growth factor receptor threonine⁷⁹⁰ → methionine⁷⁹⁰ mutant.","The EGFR(T790M) mutant contributes approximately 50% to clinically acquired resistance against gefitinib or erlotinib. However, almost all the single agent clinical trials of the second generation irreversible EGFR inhibitors appear inadequate to overcome the EGFR(T790M)-related resistance. We have designed and synthesized a series of 2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidinyl derivatives as novel EGFR inhibitors. The most potent compounds, 2q and 2s, inhibited the enzymatic activities of wild-type and mutated EGFRs, with IC(50) values in subnanomolar ranges, including the T790M mutants. The kinase inhibitory efficiencies of the compounds were further validated by Western blot analysis of the activation of EGFR and downstream signaling in cancer cells harboring different mutants of EGFR. The compounds also strongly inhibited the proliferation of H1975 non small cell lung cancer cells bearing EGFR(L858R/T790M), while being significantly less toxic to normal cells. Moreover, 2s displayed promising anticancer efficacy in a human NSCLC (H1975) xenograft nude mouse model."
10883603,CHEMBL2033651,CHEMBL2029259,CHEMBL2032377,IC50,nM,4.99,IC50,nM,4.99,Inhibition of EGFR after 1.5 hr by FRET assay,B,,"Design, synthesis, and biological evaluation of novel conformationally constrained inhibitors targeting epidermal growth factor receptor threonine⁷⁹⁰ → methionine⁷⁹⁰ mutant.","The EGFR(T790M) mutant contributes approximately 50% to clinically acquired resistance against gefitinib or erlotinib. However, almost all the single agent clinical trials of the second generation irreversible EGFR inhibitors appear inadequate to overcome the EGFR(T790M)-related resistance. We have designed and synthesized a series of 2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidinyl derivatives as novel EGFR inhibitors. The most potent compounds, 2q and 2s, inhibited the enzymatic activities of wild-type and mutated EGFRs, with IC(50) values in subnanomolar ranges, including the T790M mutants. The kinase inhibitory efficiencies of the compounds were further validated by Western blot analysis of the activation of EGFR and downstream signaling in cancer cells harboring different mutants of EGFR. The compounds also strongly inhibited the proliferation of H1975 non small cell lung cancer cells bearing EGFR(L858R/T790M), while being significantly less toxic to normal cells. Moreover, 2s displayed promising anticancer efficacy in a human NSCLC (H1975) xenograft nude mouse model."
10883604,CHEMBL2033651,CHEMBL2029259,CHEMBL2032378,IC50,nM,29.5,IC50,nM,29.5,Inhibition of EGFR after 1.5 hr by FRET assay,B,,"Design, synthesis, and biological evaluation of novel conformationally constrained inhibitors targeting epidermal growth factor receptor threonine⁷⁹⁰ → methionine⁷⁹⁰ mutant.","The EGFR(T790M) mutant contributes approximately 50% to clinically acquired resistance against gefitinib or erlotinib. However, almost all the single agent clinical trials of the second generation irreversible EGFR inhibitors appear inadequate to overcome the EGFR(T790M)-related resistance. We have designed and synthesized a series of 2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidinyl derivatives as novel EGFR inhibitors. The most potent compounds, 2q and 2s, inhibited the enzymatic activities of wild-type and mutated EGFRs, with IC(50) values in subnanomolar ranges, including the T790M mutants. The kinase inhibitory efficiencies of the compounds were further validated by Western blot analysis of the activation of EGFR and downstream signaling in cancer cells harboring different mutants of EGFR. The compounds also strongly inhibited the proliferation of H1975 non small cell lung cancer cells bearing EGFR(L858R/T790M), while being significantly less toxic to normal cells. Moreover, 2s displayed promising anticancer efficacy in a human NSCLC (H1975) xenograft nude mouse model."
10883605,CHEMBL2033651,CHEMBL2029259,CHEMBL2032379,IC50,nM,16.4,IC50,nM,16.4,Inhibition of EGFR after 1.5 hr by FRET assay,B,,"Design, synthesis, and biological evaluation of novel conformationally constrained inhibitors targeting epidermal growth factor receptor threonine⁷⁹⁰ → methionine⁷⁹⁰ mutant.","The EGFR(T790M) mutant contributes approximately 50% to clinically acquired resistance against gefitinib or erlotinib. However, almost all the single agent clinical trials of the second generation irreversible EGFR inhibitors appear inadequate to overcome the EGFR(T790M)-related resistance. We have designed and synthesized a series of 2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidinyl derivatives as novel EGFR inhibitors. The most potent compounds, 2q and 2s, inhibited the enzymatic activities of wild-type and mutated EGFRs, with IC(50) values in subnanomolar ranges, including the T790M mutants. The kinase inhibitory efficiencies of the compounds were further validated by Western blot analysis of the activation of EGFR and downstream signaling in cancer cells harboring different mutants of EGFR. The compounds also strongly inhibited the proliferation of H1975 non small cell lung cancer cells bearing EGFR(L858R/T790M), while being significantly less toxic to normal cells. Moreover, 2s displayed promising anticancer efficacy in a human NSCLC (H1975) xenograft nude mouse model."
10883606,CHEMBL2033651,CHEMBL2029259,CHEMBL2032380,IC50,nM,1.47,IC50,nM,1.47,Inhibition of EGFR after 1.5 hr by FRET assay,B,,"Design, synthesis, and biological evaluation of novel conformationally constrained inhibitors targeting epidermal growth factor receptor threonine⁷⁹⁰ → methionine⁷⁹⁰ mutant.","The EGFR(T790M) mutant contributes approximately 50% to clinically acquired resistance against gefitinib or erlotinib. However, almost all the single agent clinical trials of the second generation irreversible EGFR inhibitors appear inadequate to overcome the EGFR(T790M)-related resistance. We have designed and synthesized a series of 2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidinyl derivatives as novel EGFR inhibitors. The most potent compounds, 2q and 2s, inhibited the enzymatic activities of wild-type and mutated EGFRs, with IC(50) values in subnanomolar ranges, including the T790M mutants. The kinase inhibitory efficiencies of the compounds were further validated by Western blot analysis of the activation of EGFR and downstream signaling in cancer cells harboring different mutants of EGFR. The compounds also strongly inhibited the proliferation of H1975 non small cell lung cancer cells bearing EGFR(L858R/T790M), while being significantly less toxic to normal cells. Moreover, 2s displayed promising anticancer efficacy in a human NSCLC (H1975) xenograft nude mouse model."
10883607,CHEMBL2033651,CHEMBL2029259,CHEMBL2029425,IC50,nM,3.52,IC50,nM,3.52,Inhibition of EGFR after 1.5 hr by FRET assay,B,,"Design, synthesis, and biological evaluation of novel conformationally constrained inhibitors targeting epidermal growth factor receptor threonine⁷⁹⁰ → methionine⁷⁹⁰ mutant.","The EGFR(T790M) mutant contributes approximately 50% to clinically acquired resistance against gefitinib or erlotinib. However, almost all the single agent clinical trials of the second generation irreversible EGFR inhibitors appear inadequate to overcome the EGFR(T790M)-related resistance. We have designed and synthesized a series of 2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidinyl derivatives as novel EGFR inhibitors. The most potent compounds, 2q and 2s, inhibited the enzymatic activities of wild-type and mutated EGFRs, with IC(50) values in subnanomolar ranges, including the T790M mutants. The kinase inhibitory efficiencies of the compounds were further validated by Western blot analysis of the activation of EGFR and downstream signaling in cancer cells harboring different mutants of EGFR. The compounds also strongly inhibited the proliferation of H1975 non small cell lung cancer cells bearing EGFR(L858R/T790M), while being significantly less toxic to normal cells. Moreover, 2s displayed promising anticancer efficacy in a human NSCLC (H1975) xenograft nude mouse model."
15685156,CHEMBL3606404,CHEMBL3603765,CHEMBL3604931,IC50,nM,1800.0,IC50,uM,1.8,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685157,CHEMBL3606404,CHEMBL3603765,CHEMBL3604932,IC50,nM,10000.0,IC50,uM,10.0,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685158,CHEMBL3606404,CHEMBL3603765,CHEMBL3604933,IC50,nM,2000.0,IC50,uM,2.0,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
