molecule_chembl_id,smiles,pic50,solubility,toxicity,clearance,half_life,toxicity_source,clearance_source
CHEMBL1173655,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,7.3,-4.79,High,High,102.36 hours,clintox,clearance_microsome_az
CHEMBL1229592,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,8.44,-5.93,Medium,Medium,89.05 hours,clintox,clearance_microsome_az
CHEMBL1232944,C=CC(=O)Nc1ccc2c(Nc3cc[nH]n3)nc(-c3ccccc3)nc2c1,5.66,-5.54,Low,Medium,91.21 hours,clintox,clearance_microsome_az
CHEMBL2029425,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,8.45,-4.47,High,High,59.25 hours,clintox,clearance_microsome_az
CHEMBL2032376,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,8.94,-4.92,High,Medium,50.55 hours,clintox,clearance_microsome_az
CHEMBL2032377,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N(C)C)cc4OC)nc32)c1,8.3,-5.32,Medium,Low,52.46 hours,clintox,clearance_microsome_az
CHEMBL2032378,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCCC5)cc4OC)nc32)c1,7.53,-5.75,Medium,Low,66.15 hours,clintox,clearance_microsome_az
CHEMBL2032379,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCOCC5)cc4OC)nc32)c1,7.79,-5.1,Low,Medium,51.15 hours,clintox,clearance_microsome_az
CHEMBL2032380,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCN(C)CC5)cc4OC)nc32)c1,8.83,-4.78,High,High,51.5 hours,clintox,clearance_microsome_az
CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,7.29,-4.68,High,High,112.64 hours,clintox,clearance_microsome_az
