original_smiles,optimized_smiles,old_score,new_score
CN1C(=S)C(C)(C(=O)Nc2ccccc2)c2ccccc21,CCC1(C(=O)Nc2ccccc2)C(=S)N(C)c2ccccc21,0.9587592159687957,0.9629160526175469
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,CCC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,0.9325676970738025,0.9441640693590887
N#CC(C#N)=Cc1ccc(NC(=O)CCC(=O)O)cc1,Cc1cc(NC(=O)CCC(=O)O)ccc1C=C(C#N)C#N,0.9377036095728717,0.9412102059177555
COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,COc1ccc2c(c1)N(C)C(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,0.9122016773012334,0.9336190328674201
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,CC1CCCc2cc(/C=C3\C(=O)Nc4ccccc43)[nH]c21,0.9285638271989287,0.9286729585728981
CNc1ncc2ncnc(Nc3ccccc3)c2n1,CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,0.923181354482727,0.9274935167269692
N#CC(C#N)=Cc1ccc(O)c(O)c1,COc1cc(C=C(C#N)C#N)ccc1O,0.454133175154945,0.9215634242844533
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CN(c1cccc(Br)c1)c1ncnc2ccc(N)cc12,0.9122674889550054,0.9183501166318596
COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,COc1ccc(/C(C)=C(\C#N)C(=O)O)cc1OC,0.8839094210905589,0.8951554435631063
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c(O)c1,0.5899501311386512,0.8703772500339557
N#CC(C#N)=Cc1ccc2c(c1)OCO2,N#CC(C#N)=Cc1ccc2c(c1N)OCO2,0.4936720711401239,0.8686781185151063
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,Cc1c(C[C@H](N)C(=O)O)ccc(O)c1O,0.45375207740790435,0.862093933015769
N#CC(C#N)=C(O)c1ccc(O)cc1,Cc1cc(O)ccc1C(O)=C(C#N)C#N,0.4547242653111702,0.860725837781766
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,CN(c1cccc(CO)c1)c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,0.850037401847588,0.8508567595315162
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],Cc1cc([N+](=O)[O-])c(C=C(C#N)C#N)cc1O,0.8374952229514167,0.8420284297460852
N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,Cc1cc(/C=C(\C#N)C(=O)NCC#N)ccc1O,0.8367564360225883,0.8417309303178886
O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccc(O)cc4)ccc32)[nH]c2c1CCCC2,0.55354050697904,0.8318332696479492
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CC(O)CC3)cc1,0.5393423939026789,0.8249793464914149
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,COc1cccc(-c2ccc3c(c2)N(N)C(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,0.5899501311386512,0.8201315523999915
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,N#C/C(=C\c1ccc(O)c(ON)c1)C(=O)O,0.8142289669972103,0.8171747348903197
N#CC(C#N)=C1C(=O)NC(=O)NC1=O,N#CC(C#N)=C1C(=O)NC(=O)N(O)C1=O,0.3836364307083688,0.766285033524799
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,COc1ccccc1-c1ccc2c(c1)N(C)C(=O)/C2=C\c1cc2c([nH]1)CCCC2,0.5899501311386512,0.5919270411197477
