molecule_chembl_id,ic50_nM,pic50
CHEMBL1173655,49.85,7.302334837352325
CHEMBL1229592,3.59,8.44490555142168
CHEMBL1232944,2200.0,5.657577319177793
CHEMBL2029425,3.52,8.453457336521868
CHEMBL2032376,1.16,8.935542010773082
CHEMBL2032377,4.99,8.30189945437661
CHEMBL2032378,29.5,7.530177984021837
CHEMBL2032379,16.4,7.785156151952302
CHEMBL2032380,1.47,8.832682665251824
CHEMBL31965,51.0,7.292429823902063
CHEMBL3353410,13.555,7.867900478083496
CHEMBL3545308,490.15,6.309670993026031
CHEMBL3545311,19.4,7.712198270069773
CHEMBL3604910,2200.0,5.657577319177793
CHEMBL3604911,1100.0,5.958607314841775
CHEMBL3604919,2500.0,5.6020599913279625
CHEMBL3604931,1800.0,5.7447274948966935
CHEMBL3604932,10000.0,5.0
CHEMBL3604933,2000.0,5.698970004336019
CHEMBL3604934,10000.0,5.0
CHEMBL3604935,1800.0,5.7447274948966935
CHEMBL3604936,2100.0,5.6777807052660805
CHEMBL3604937,500.0,6.301029995663981
CHEMBL3604938,10000.0,5.0
CHEMBL3604939,3600.0,5.443697499232712
CHEMBL3604940,400.0,6.3979400086720375
CHEMBL3604941,600.0,6.221848749616356
CHEMBL3604942,4900.0,5.309803919971486
CHEMBL3604943,1.0,9.0
CHEMBL3608429,178.0,6.749579997691106
CHEMBL3608432,1450.0,5.838631997765025
CHEMBL3633143,329.7,6.481881052856847
CHEMBL3786098,5100.0,5.292429823902063
CHEMBL3883534,6.0,8.221848749616356
CHEMBL3989970,307.0,6.512861624522813
CHEMBL4063421,549.6,6.259953275948506
CHEMBL4064475,166.2,6.779368980551908
CHEMBL4072048,97.0,7.013228265733755
CHEMBL4073062,1000.0,6.0
CHEMBL4082515,444.7,6.351932870551066
CHEMBL4086000,46.8,7.329754146925876
CHEMBL4091276,169.2,6.771599641296995
CHEMBL4093766,1000.0,6.0
CHEMBL4099008,1000.0,6.0
CHEMBL4101484,1000.0,6.0
CHEMBL4204566,10000.0,5.0
CHEMBL4205392,83.0,7.080921907623926
CHEMBL4206312,29.0,7.5376020021010435
CHEMBL4206501,152.0,6.818156412055227
CHEMBL4207951,805.0,6.094204119632131
CHEMBL4208829,673.0,6.171984935776023
CHEMBL4212326,652.0,6.185752404268079
CHEMBL4213400,78.0,7.107905397309519
CHEMBL4213609,750.0,6.1249387366083
CHEMBL4213741,280.0,6.552841968657781
CHEMBL4216679,160.0,6.795880017344075
CHEMBL4218154,649.0,6.187755303199631
CHEMBL4558324,2.7,8.568636235841012
CHEMBL4753387,111.6,6.95233580539844
CHEMBL4778502,146.9,6.832978204209743
CHEMBL4786701,155.7,6.80771138743188
CHEMBL4787536,234.4,6.630042392653947
CHEMBL4788364,143.4,6.843450848668218
CHEMBL4796010,0.68,9.167491087293763
CHEMBL4798177,43.1,7.365522729839268
CHEMBL4798480,212.7,6.672232510097271
CHEMBL5206715,2.0,8.698970004336019
CHEMBL5394139,3.0,8.522878745280337
CHEMBL5400012,32.0,7.494850021680094
CHEMBL5406494,14.0,7.853871964321762
CHEMBL5406792,6.0,8.221848749616356
CHEMBL5409123,7.0,8.154901959985743
CHEMBL5417638,52.0,7.2839966563652
CHEMBL5422135,2.0,8.698970004336019
CHEMBL5423938,23.0,7.638272163982407
CHEMBL5427116,124.0,6.906578314837765
CHEMBL5428368,14.0,7.853871964321762
CHEMBL5429838,19.0,7.721246399047171
CHEMBL5430958,7.0,8.154901959985743
CHEMBL5432716,8.0,8.096910013008056
CHEMBL5435463,2.0,8.698970004336019
CHEMBL5436057,304.0,6.517126416391246
CHEMBL5436101,65.0,7.187086643357144
CHEMBL5437181,41.0,7.387216143280264
CHEMBL5437343,6.0,8.221848749616356
CHEMBL5440626,2.0,8.698970004336019
CHEMBL5441041,13.0,7.886056647693163
CHEMBL553,30.25,7.519274621011513
CHEMBL554,2031.5,5.692183173337569
CHEMBL6103174,76.7,7.115204636051019
CHEMBL6134398,44.8,7.348721986001856
CHEMBL6142527,43.6,7.360513510731414
CHEMBL6144365,63.5,7.197226274708024
CHEMBL6144434,59.2,7.22767829327708
CHEMBL6147522,114.0,6.943095148663527
CHEMBL6149229,43.1,7.365522729839268
CHEMBL6149588,97.8,7.009661145212399
CHEMBL6150187,26.95,7.569441230477243
CHEMBL6160060,116.0,6.935542010773082
CHEMBL6163246,87.8,7.056505484093897
CHEMBL6165980,78.9,7.102922996790579
CHEMBL6168204,41.6,7.380906669373257
CHEMBL6168241,97.35,7.0116640441439495
CHEMBL6169682,65.6,7.18309616062434
CHEMBL939,391.05,6.40776770977599
